Mode,Length,Accuracy,Count
teacher_forced,1,0.0000,2
teacher_forced,10+,0.8064,2490
teacher_forced,2,0.3333,3
teacher_forced,3,1.0000,3
teacher_forced,4,0.6667,3
teacher_forced,5,1.0000,3
teacher_forced,6,1.0000,3
teacher_forced,7,1.0000,3
teacher_forced,8,0.6667,3
teacher_forced,9,1.0000,3
one_step_autoregressive,1,0.0000,2
one_step_autoregressive,10+,0.6916,2490
one_step_autoregressive,2,0.3333,3
one_step_autoregressive,3,1.0000,3
one_step_autoregressive,4,0.6667,3
one_step_autoregressive,5,1.0000,3
one_step_autoregressive,6,1.0000,3
one_step_autoregressive,7,1.0000,3
one_step_autoregressive,8,0.6667,3
one_step_autoregressive,9,1.0000,3
fully_autoregressive,1,0.0000,2
fully_autoregressive,10+,0.6534,2490
fully_autoregressive,2,0.3333,3
fully_autoregressive,3,1.0000,3
fully_autoregressive,4,0.6667,3
fully_autoregressive,5,1.0000,3
fully_autoregressive,6,1.0000,3
fully_autoregressive,7,1.0000,3
fully_autoregressive,8,0.6667,3
fully_autoregressive,9,1.0000,3
